                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.96972,                0.53353,                0.94059,                0.89887,                0.92958,                 0.9685,                0.71866,                0.96619,                0.52077,                0.94179,               0.001352,               0.001352,               0.001352
                     38,                0.96804,                0.54027,                0.93867,                0.90661,                0.90928,                0.96283,                0.70548,                 1.0082,                0.53109,                0.95517,               0.001334,               0.001334,               0.001334
                     39,                0.94833,                0.51643,                0.93707,                0.90428,                0.91744,                 0.9703,                0.71445,                 1.0127,                0.53298,                0.96033,               0.001316,               0.001316,               0.001316
                     40,                0.95673,                0.52337,                0.93066,                0.90956,                0.91234,                0.95808,                0.70663,                 1.0007,                0.55641,                0.95045,               0.001298,               0.001298,               0.001298
                     41,                0.95583,                0.53443,                0.93321,                0.89382,                0.92531,                0.96418,                0.71323,                  1.017,                0.53335,                0.96297,                0.00128,                0.00128,                0.00128
                     42,                0.95857,                0.53861,                0.93206,                0.89789,                0.93841,                0.96055,                0.71563,                 0.9738,                0.51965,                 0.9443,               0.001262,               0.001262,               0.001262
                     43,                 0.9583,                0.52311,                0.93311,                0.89293,                0.92565,                0.96158,                0.70807,                 1.0004,                0.57196,                 0.9609,               0.001244,               0.001244,               0.001244
                     44,                0.94913,                 0.5179,                0.92921,                0.87314,                 0.9285,                0.96397,                0.70732,                0.99804,                0.52919,                0.94544,               0.001226,               0.001226,               0.001226
                     45,                0.94388,                0.51522,                0.92449,                0.89351,                 0.9381,                0.96065,                0.71523,                0.96267,                0.51305,                0.93693,               0.001208,               0.001208,               0.001208
                     46,                 0.9448,                 0.5218,                0.93164,                0.89766,                0.92676,                0.96607,                0.71663,                0.98239,                0.51927,                0.94939,                0.00119,                0.00119,                0.00119
                     47,                0.94392,                0.51359,                0.92688,                0.91074,                0.91889,                0.96388,                0.72227,                0.96543,                0.50632,                0.93976,               0.001172,               0.001172,               0.001172
                     48,                0.93536,                0.50667,                0.93051,                0.89128,                0.93597,                0.96295,                0.71819,                0.98906,                0.51898,                 0.9451,               0.001154,               0.001154,               0.001154
                     49,                0.93422,                0.50676,                0.92826,                0.89851,                0.93536,                0.96813,                0.71635,                0.97412,                0.52464,                0.94477,               0.001136,               0.001136,               0.001136
                     50,                0.93211,                0.50247,                0.92425,                0.92218,                0.91054,                0.96842,                0.71974,                0.96356,                0.52206,                0.94458,               0.001118,               0.001118,               0.001118
                     51,                0.93464,                0.50528,                0.92582,                0.92108,                0.91996,                0.96666,                0.71794,                0.97213,                0.50236,                0.94917,                 0.0011,                 0.0011,                 0.0011
                     52,                0.93024,                0.49861,                0.92244,                0.92255,                0.91524,                0.96922,                0.72329,                0.96198,                0.50984,                0.93913,               0.001082,               0.001082,               0.001082
                     53,                0.92429,                 0.5056,                0.92613,                0.89731,                0.91355,                0.96514,                0.71033,                0.99944,                 0.5313,                0.94679,               0.001064,               0.001064,               0.001064
                     54,                0.91564,                0.49606,                0.92047,                0.89653,                0.94771,                0.96488,                0.71656,                0.95975,                0.51875,                0.94191,               0.001046,               0.001046,               0.001046
                     55,                 0.9252,                0.49484,                0.92341,                 0.9071,                0.89861,                0.95709,                0.71133,                0.97466,                0.50599,                0.94719,               0.001028,               0.001028,               0.001028
                     56,                0.91156,                0.48886,                0.91696,                0.90139,                0.93276,                0.95944,                 0.7149,                0.97918,                0.49857,                0.94189,                0.00101,                0.00101,                0.00101
                     57,                0.90861,                0.49189,                0.92299,                0.90893,                0.92316,                 0.9607,                0.72024,                0.96464,                0.49749,                 0.9374,               0.000992,               0.000992,               0.000992
                     58,                 0.9049,                0.48582,                0.91806,                0.91848,                0.91383,                0.96857,                0.72861,                0.95993,                0.49182,                0.93828,               0.000974,               0.000974,               0.000974
                     59,                0.90686,                 0.4836,                0.92271,                0.91961,                0.91569,                0.97066,                 0.7314,                0.94917,                0.49565,                0.93334,               0.000956,               0.000956,               0.000956
                     60,                0.90944,                0.48249,                0.92209,                0.90751,                0.93194,                0.97284,                0.73267,                0.95883,                0.48836,                0.93522,               0.000938,               0.000938,               0.000938
                     61,                0.90165,                0.48028,                0.91627,                0.88719,                0.92743,                 0.9674,                  0.724,                0.96018,                0.50271,                0.93863,                0.00092,                0.00092,                0.00092
                     62,                0.92544,                0.48824,                0.92754,                0.91349,                0.92102,                0.96405,                0.72073,                 0.9845,                0.50524,                0.94219,               0.000902,               0.000902,               0.000902
                     63,                 0.9054,                0.48133,                0.91957,                0.91494,                0.92743,                 0.9727,                0.71825,                0.98164,                0.53514,                 0.9414,               0.000884,               0.000884,               0.000884
                     64,                0.90275,                0.48227,                0.91699,                0.91551,                0.92515,                0.96736,                0.72287,                0.96164,                0.51575,                0.93807,               0.000866,               0.000866,               0.000866
                     65,                0.89453,                0.47042,                0.91299,                0.93355,                0.91462,                0.97108,                0.72903,                0.96345,                0.49727,                0.93538,               0.000848,               0.000848,               0.000848
                     66,                0.88335,                0.47444,                 0.9152,                0.92075,                0.93063,                0.97161,                0.72982,                0.94938,                0.48865,                 0.9352,                0.00083,                0.00083,                0.00083
                     67,                0.89135,                0.47063,                0.91449,                0.89631,                 0.9285,                0.96158,                0.73191,                0.93078,                0.49085,                0.93022,               0.000812,               0.000812,               0.000812
